date,title,description,best_result_raw,best_result_display,score_type,barbell_lift,set_details,notes,rx_or_scaled,pr
12/21/2022,Cindy Lou Who (Open),Masters 35-44AMRAP 20 Minutes5 Pull Ups10 Push Ups15 Air SquatsMasters 45-54Complete as written aboveMasters 55-64Complete as written aboveMasters 65+Complete as written above,16.005,16+5,Rounds + Reps,,"[{""rnds"":16,""reps"":5}]",,RX,PR
12/26/2022,Times Square Ball Drop (Open & QuarterFinals),Masters 35-445-10-15-20-15-10-5Chest to bar Pull UpsGHD Sit Ups*3 Wall Walks after each roundMasters 45-544-8-12-16-12-8-4Chest to bar Pull UpsGHD Sit Ups*3 Wall Walks after each roundMasters 55-64Complete as written aboveMasters 65+3-6-9-12-9-6-3Chest to Bar Pull UpsGHD Sit Ups*2 Wall Walks after each round,900,15:00,,,"[{""secs"":0,""mins"":15}]",TimeCap,RX,
12/26/2022,Snatch Balance 3-2-1-1-1-1-1,3 Snatch Balance @ 60% 1 RM Snatch 2 Snatch Balance @ 70% 1 RM Snatch 1 Snatch Balance @ 80% 1 RM Snatch 1 Snatch Balance @ 85% 1 RM Snatch 1 Snatch Balance @ 90% 1 RM Snatch 1 Snatch Balance @ 95% 1 RM Snatch 1 Snatch Balance @ 100+% 1 RM Snatch,145,145,Load,Snatch Balance,"[{""success"":true,""load"":45},{""success"":true,""load"":65},{""success"":true,""load"":85},{""success"":true,""load"":95},{""success"":true,""load"":105},{""success"":true,""load"":125},{""success"":true,""load"":145}]",,SCALED,
12/26/2022,Snatch Pull + Snatch 3-3-2-2-2-2,2 Snatch Pull + 1 Snatch @ 65% 1 RM Snatch 2 Snatch Pull + 1 Snatch @ 75% 1 RM Snatch 1 Snatch Pull + 1 Snatch @ 80% 1 RM Snatch 1 Snatch Pull + 1 Snatch @ 85% 1 RM Snatch 1 Snatch Pull + 1 Snatch @ 90% 1 RM Snatch 1 Snatch Pull + 1 Snatch @ 95-100% 1 RM Snatch,105,105,Load,Snatch Pull + Snatch,"[{""success"":true,""load"":85},{""success"":true,""load"":105},{""success"":true,""load"":105},{""success"":true,""load"":105},{""success"":true,""load"":105},{""success"":true,""load"":105}]",,SCALED,
12/26/2022,Front Squat 5x1,Take five reps to build to a heavy single for the day.,135,135,Load,Front Squat,"[{""success"":true,""load"":95},{""success"":true,""load"":115},{""success"":true,""load"":135},{""success"":true,""load"":135},{""success"":true,""load"":135}]",,SCALED,
12/27/2022,Clean Deadlift 5x1,1 Clean Deadlift @ 105% 1 RM Clean1 Clean Deadlift @ 105% 1 RM Clean1 Clean Deadlift @ 105% 1 RM Clean1 Clean Deadlift @ 105% 1 RM Clean1 Clean Deadlift @ 105% 1 RM Clean,145,145,Load,"Full Grip, No Foot Clean + Tall Jerks","[{""success"":true,""load"":145},{""success"":true,""load"":145},{""success"":true,""load"":145},{""success"":true,""load"":145},{""success"":true,""load"":145}]",,SCALED,
12/27/2022,Clean Pull + Clean + Jerk 5x3,1 Clean Pull + 1 Clean + 1 Jerk @ 75% 1 RM Clean and Jerk1 Clean Pull + 1 Clean + 1 Jerk @ 80-83% 1 RM Clean and Jerk1 Clean Pull + 1 Clean + 1 Jerk @ 85-88% 1 RM Clean and Jerk1 Clean Pull + 1 Clean + 1 Jerk @ 90-93% 1 RM Clean and Jerk1 Clean Pull + 1 Clean + 1 Jerk @ 95-98% 1 RM Clean and Jerk,115,115,Load,Clean Pull + Clean + Jerk,"[{""success"":true,""load"":65},{""success"":true,""load"":78},{""success"":true,""load"":95},{""success"":true,""load"":115},{""success"":true,""load"":115}]",,SCALED,
12/27/2022,Split Jerk 3-2-1-1-1-1-1,3 Split Jerk @ 65% 1 RM Jerk2 Split Jerk @ 75% 1 RM Jerk1 Split Jerk @ 80% 1 RM Jerk1 Split Jerk @ 85% 1 RM Jerk1 Split Jerk @ 90% 1 RM Jerk1 Split Jerk @ 95% 1 RM Jerk1 Split Jerk @ 100+% 1 RM Jerk,115,115,Load,Split Jerk,"[{""success"":true,""load"":115},{""success"":true,""load"":115},{""success"":true,""load"":115},{""success"":true,""load"":115},{""success"":true,""load"":115},{""success"":true,""load"":115},{""success"":true,""load"":115}]",,SCALED,
12/27/2022,Black Eyed Peas & Collard Greens  (Open & QuarterFinals),Masters 35-449 Rounds6 Dumbbell Deadlifts (2x50s/35)6 Dumbbell Front Squats (2x50s/35)6 Dumbbell Push Presses (2x50s/35)*Everytime you break perform 7 Burpee over Dumbbells*Masters 45-549 Rounds6 Dumbbell Deadlifts (2x40s/30)6 Dumbbell Front Squats (2x40s/30)6 Dumbbell Push Presses (2x40s/30)*Everytime you break perform 7 Burpee over Dumbbells*Masters 55-64Complete as written aboveMasters 65+9 Rounds6 Dumbbell Deadlifts (2x35s/25)6 Dumbbell Front Squats (2x35s/25)6 Dumbbell Push Presses (2x35s/25)*Everytime you break perform 7 Burpee over Dumbbells*,605,10:05,,,"[{""secs"":5,""mins"":10}]",DB 35 LB ,SCALED,
12/30/2022,"“The Final Countdown” (Open, QuarterFinals, SemiFinals, & Games)",Masters 35-44AMRAP 12 Minutes1 Squat Snatch (155/105)3 Clean and Jerks (155/105)30 Double UndersMasters 45-54AMRAP 12 Minutes1 Squat Snatch (135/95)3 Clean and Jerks (135/95)30 Double UndersMasters 55-64AMRAP 12 Minutes1 Squat Snatch (105/75)3 Clean and Jerks (105/75)30 Double UndersMasters 65+AMRAP 12 Minutes1 Squat Snatch (95/65)3 Clean and Jerks (95/65)30 Double Unders,6,6,Rounds + Reps,,"[{""rnds"":6,""reps"":0}]",95 Lb,SCALED,
01/02/2023,High Hang Power Snatch 3-3-2-2-2,3 High Hang Power Snatch @ 65% 1 RM Snatch3 High Hang Power Snatch @ 65% 1 RM Snatch2 High Hang Power Snatch  @ 70% 1 RM Snatch2 High Hang Power Snatch  @ 70% 1 RM Snatch2 High Hang Power Snatch  @ 70% 1 RM Snatch*Rest 2 minutes between sets.,95,95,Load,High Hang Power Snatch,"[{""success"":true,""load"":75},{""success"":true,""load"":75},{""success"":true,""load"":95},{""success"":true,""load"":95},{""success"":true,""load"":95}]",,SCALED,
01/02/2023,High Hang Muscle Snatch 3x3,3 High Hang Muscle Snatch @6/10 RPE3 High Hang Muscle Snatch @6/10 RPE3 High Hang Muscle Snatch @6/10 RPE,75,75,Load,High Hang Muscle Snatch,"[{""success"":true,""load"":75},{""success"":true,""load"":75},{""success"":true,""load"":75}]",,SCALED,
01/02/2023,Elsa and Anna (Open & QuarterFinals),Masters 35-448 sets20/16 Calorie Row10 Lateral  Burpes Over Rower-rest 1 minute b/t sets-Masters 45-54Complete as written aboveMasters 55-64Complete as written aboveMasters 65+8 sets20/16 Calorie Row8 Lateral  Burpees Over Rower-rest 1 minute b/t sets-,960,16:00,,,"[{""secs"":0,""mins"":2},{""secs"":0,""mins"":2},{""secs"":0,""mins"":2},{""secs"":0,""mins"":2},{""secs"":0,""mins"":2},{""secs"":0,""mins"":2},{""secs"":0,""mins"":2},{""secs"":0,""mins"":2}]",16 cal6 burpees over the rower,SCALED,
01/02/2023,Snatch Grip Push Press 3-3-2-2,3 Snatch Grip Push Press @ 65% 1 RM Snatch3 Snatch Grip Push Press @ 65% 1 RM Snatch2 Snatch Grip Push Press @70% 1 RM Snatch2 Snatch Grip Push Press @70% 1 RM Snatch,115,115,Load,Snatch Grip Push Press,"[{""success"":true,""load"":75},{""success"":true,""load"":75},{""success"":true,""load"":115},{""success"":true,""load"":115}]",,SCALED,
01/03/2023,Hang Power Clean 10x2,EMOM for 10 minutes perform 2 Hang Power Cleans.Build in weight each set.Work up to a 8.5/10 RPE.,135,135,Load,Hang Power Clean,"[{""success"":true,""load"":45},{""success"":true,""load"":65},{""success"":true,""load"":75},{""success"":true,""load"":85},{""success"":true,""load"":95},{""success"":true,""load"":105},{""success"":true,""load"":115},{""success"":true,""load"":125},{""success"":true,""load"":135},{""success"":true,""load"":135}]",,SCALED,
01/03/2023,"Olaf (Open, QuarterFinals, SemiFinals & Games)",*Open & QuarterFinals perform 3 sets ands score slowest set twice Masters 35-444 sets:25 Front Squats (95/65)75 Double Unders25 Pull Ups -rest 3 minutes between sets-Masters 45-544 sets:25 Front Squats (75/55)75 Double Unders25 Pull Ups -rest 3 minutes between sets-Masters 55-644 sets:25 Front Squats (65/45)75 Double Unders25 Pull Ups -rest 3 minutes between sets-Masters 65+4 sets:20 Front Squats (65/45)60 Double Unders20 Pull Ups -rest 3 minutes between sets-,1022,17:02,,,"[{""secs"":5,""mins"":4},{""secs"":10,""mins"":4},{""secs"":25,""mins"":4},{""secs"":22,""mins"":4}]",Single unders x2,SCALED,
01/03/2023,Clean Deadlift 3x5,5 Clean Deadlift @8.5/10 RPE5 Clean Deadlift @8.5/10 RPE5 Clean Deadlift @8.5/10 RPEUse Clean grip AND set up on the bar. Use controlled pull hitting all 3 positions of the clean,138,138,Load,"Full Grip, No Foot Clean + Tall Jerks","[{""success"":true,""load"":135},{""success"":true,""load"":138},{""success"":true,""load"":135}]",,SCALED,
01/03/2023,Good Morning,5 Good Mornings @ 6-7/10 RPE5 Good Mornings @ 6-7/10 RPE5 Good Mornings @ 6-7/10 RPE,45,45,Load,,"[{""success"":true,""load"":45},{""success"":true,""load"":45},{""success"":true,""load"":45}]",,RX,
01/04/2023,Kristoff and Sven (Open & QuarterFinals),Masters 35-44AMRAP 15 minutes50/40 Calorie Ski (OR Row)-into-10 GHD Sit Ups1-2-3-4-5-6-7.Power Cleans (185/125)Masters 45-54AMRAP 15 minutes50/40 Calorie Ski (OR Row)-into-10 GHD Sit Ups1-2-3-4-5-6-7.Power Cleans (165/110)Masters 55-64AMRAP 15 minutes50/40 Calorie Ski (OR Row)-into-10 GHD Sit Ups1-2-3-4-5-6-7.Power Cleans (125/85)Masters 65+AMRAP 15 minutes50/40 Calorie Ski (OR Row)-into-8 GHD Sit Ups1-2-3-4-5-6-7.Power Cleans (110/77),91,91,Reps,,"[{""reps"":91}]",135 LB ,SCALED,
01/08/2023,BikeErg: Lactate Threshold,"5 Min at RPE3 -Rest 1 Min- 4 Sets   500m at RPE4-5, 30 Sec Rest or RPE2    1000m at RPE4-5, 60 Sec Rest or RPE2   1500m at RPE4-5*Rest 90 Sec between sets.",15330,15330,Meters,,"[{""meters"":15330}]",,RX,
01/09/2023,Croissant (Open & QuarterFinals),Masters 35-4427-21-15-9 Toes to BarPower Snatch (75/55)Masters 45-5424-18-12-6 Toes to BarPower Snatch (75/55)Masters 55-6424-18-12-6 Toes to BarPower Snatch (55/40)Masters 65+21-15-9-3 Toes to BarPower Snatch (55/40),647,10:47,,,"[{""secs"":47,""mins"":10}]",,RX,
01/09/2023,Back Squat 4x7,7 Back Squat @ 65% 1RM Back Squat 7 Back Squat @ 65% 1RM Back Squat 7 Back Squat @ 70% 1RM Back Squat 7 Back Squat @ 70% 1RM Back Squat,185,185,Load,Back Squat,"[{""success"":true,""load"":95},{""success"":true,""load"":115},{""success"":true,""load"":135},{""success"":true,""load"":185}]",,SCALED,
01/09/2023,"Snatch Push Press + Pause Overhead Squat 2x4, 2x3",3 Snatch Push Press + 1 Pause Overhead Squat @ 70% 1 RM Snatch3 Snatch Push Press + 1 Pause Overhead Squat @ 70% 1 RM Snatch2 Snatch Push Press + 1 Pause Overhead Squat @75% 1 RM Snatch2 Snatch Push Press + 1 Pause Overhead Squat @75% 1 RM SnatchPause = 2 seconds at bottom of squat,95,95,Load,Snatch Push Press + Pause Overhead Squat,"[{""success"":true,""load"":65},{""success"":true,""load"":75},{""success"":true,""load"":95},{""success"":true,""load"":95}]",,SCALED,
01/10/2023,Power Clean 10-8-6-4-2,10 Power Clean8 Power Clean6 Power Clean4 Power Clean2 Power Clean-Rest as needed in between sets-*These will be cycled.  Move up in weight each set and build to a heavy set of 2**Keep your movement fluid and precise!,165,165,Load,Power Clean,"[{""success"":true,""load"":75},{""success"":true,""load"":95},{""success"":true,""load"":115},{""success"":true,""load"":135},{""success"":true,""load"":165}]",,SCALED,
01/10/2023,Cream Cheese Danish (Open & QuarterFinals),Masters 35-444 Sets400m Run10 Strict Handstand Push Ups-rest 1 minute b/t sets-Masters 45-544 Sets400m Run8 Strict Handstand Push Ups-rest 1 minute b/t sets-Masters 55-644 Sets400m Run8 Strict Handstand Push Ups-rest 1 minute b/t sets-Masters 65+4 Sets400m Run6 Strict Handstand Push Ups-rest 1 minute b/t sets-,945,15:45,,,"[{""secs"":48,""mins"":3},{""secs"":55,""mins"":3},{""secs"":10,""mins"":4},{""secs"":52,""mins"":3}]",Air bike 25 calories instead of running. ,SCALED,
01/10/2023,Power Clean 1x1,Build to a heavy power clean in 10 minutes.,185,185,Load,Power Clean,"[{""success"":true,""load"":185}]",,RX,
01/10/2023,5 Position Pause Clean Deadlift 5x1,"5 Position Pause Clean Deadlift @ 85-90%% 1 RM Clean5 Position Pause Clean Deadlift @ 85-90%% 1 RM Clean5 Position Pause Clean Deadlift @ 85-90%% 1 RM Clean5 Position Pause Clean Deadlift @ 85-90%% 1 RM Clean5 Position Pause Clean Deadlift @ 85-90%% 1 RM Clean*You will pause for 2 seconds at 1” off ground, below the knee, above the knee, mid thigh and power position. *Remember to pause on the way up AND on the way down.*If you have straps, then use them!",185,185,Load,5 Position Pause Clean Deadlift,"[{""success"":true,""load"":185},{""success"":true,""load"":185},{""success"":true,""load"":185},{""success"":true,""load"":185},{""success"":true,""load"":185}]",,RX,
01/11/2023,Cannoli (Open & QuarterFinals),Masters 35-445-4-3-2-1Rope Climbs (15’)30-24-18-12-6Overhead Squats (95/65)Masters 45-545-4-3-2-1Rope Climbs (15’)30-24-18-12-6Overhead Squats (75/55)Masters 55-645-4-3-2-1Rope Climbs (15’)30-24-18-12-6Overhead Squats (65/45)Masters 65+4-3-2-1-1Rope Climbs (15’)30-24-18-12-6Overhead Squats (55/40),720,12:00,,,"[{""secs"":0,""mins"":12}]",TC 12”,SCALED,
01/11/2023,Power Snatch 3-3-2-2-1-1,Build to a heavy power snatch in 10 minutes.,105,105,Load,Power Snatch,"[{""success"":true,""load"":65},{""success"":true,""load"":75},{""success"":true,""load"":95},{""success"":true,""load"":95},{""success"":true,""load"":105},{""success"":true,""load"":105}]",,SCALED,
01/11/2023,Power Snatch 10-8-6-4-2,10 Power Snatch8 Power Snatch6 Power Snatch4 Power Snatch2 Power Snatch-Rest as needed in between sets-*These will be cycled. Move up in weight each set and build to a heavy set of 2**Keep your movement fluid and precise!,125,125,Load,Power Snatch,"[{""success"":true,""load"":75},{""success"":true,""load"":95},{""success"":true,""load"":105},{""success"":true,""load"":115},{""success"":true,""load"":125}]",,SCALED,
01/11/2023,Floating Snatch Deadlift 4x5,"5 Floating Snatch Deadlift @ 85% 1 RM Snatch5 Floating Snatch Deadlift @ 85% 1 RM Snatch3 Floating Snatch Deadlift @ 90% 1 RM Snatch3 Floating Snatch Deadlift @ 90% 1 RM Snatch*On the eccentric, go down until JUST before the barbell touches the ground, but don’t let it touch! You’ll then move immediately into the next rep.",125,125,Load,Floating Snatch Deadlift,"[{""success"":true,""load"":125},{""success"":true,""load"":125},{""success"":true,""load"":125},{""success"":true,""load"":125}]",,SCALED,
01/18/2023,The Land Before Time (Open & QuarterFinals),Masters 35-447:00 Max Distance Row-rest 1 minute-7:00 Max Distance Bike Erg-rest 1 minute-7:00 Max Distance Ski ErgMasters 45-54Complete as written aboveMasters 55-64Complete as written aboveMasters 65+Complete as written above,4770,4770,Meters,,"[{""meters"":1370},{""meters"":2050},{""meters"":1350}]",,RX,
